protein target,smiles count
P13945_ADRB3,4
O14929_HAT1,4
Q9ULM6_CCR4,4
P17612_PRKACA,4
P25025_CXCR2,4
Q92769_HDAC2,4
P28070_PSMB4,4
Q53GQ0_HSD17B12,4
O14818_PSMA7,4
Q8NBQ5_HSD17B11,4
P43115_PTGER3,4
P35499_SCN4A,4
Q15418_RPS6KA1,4
P32246_CCR1,4
P29475_NOS1,3
P11309_PIM1,3
Q13324_CRHR2,3
Q09472_EP300,3
O95136_S1PR2,3
Q15118_PDK1,3
P51812_RPS6KA3,3
P11473_VDR,3
P22612_PRKACG,3
P43405_SYK,3
O14638_ENPP3,3
Q9HBY0_NOX3,3
Q86X55_CARM1,3
Q9NP59_SLC40A1,3
Q99436_PSMB7,3
O43614_HCRTR2,3
P52333_JAK3,3
P35372_OPRM1,3
P06746_POLB,3
P49862_KLK7,3
P11166_SLC2A1,3
Q6UWR7_ENPP6,3
P47712_PLA2G4A,3
O15530_PDPK1,3
P01584_IL1B,3
Q13555_CAMK2G,3
P50416_CPT1A,3
P24530_EDNRB,3
Q04844_CHRNE,3
Q05901_CHRNB3,3
P51532_SMARCA4,3
Q99835_SMO,3
P62937_PPIA,3
Q05940_SLC18A2,3
P21964_COMT,3
P62195_PSMC5,3
O60906_SMPD2,3
Q15465_SHH,3
Q99500_S1PR3,3
O96013_PAK4,3
O43242_PSMD3,3
P48736_PIK3CG,3
Q9P1W9_PIM2,3
Q14289_PTK2B,3
Q7Z3S7_CACNA2D4,3
O75762_TRPA1,3
O43306_ADCY6,3
P47900_P2RY1,3
Q14994_NR1I3,3
Q99720_SIGMAR1,3
P05556_ITGB1,3
Q9Y5Z0_BACE2,3
P43403_ZAP70,3
Q16651_PRSS8,3
P18825_ADRA2C,3
Q12809_KCNH2,3
P00813_ADA,3
Q9UNI1_CELA1,3
Q99572_P2RX7,3
P51681_CCR5,3
P15121_AKR1B1,3
P28065_PSMB9,3
Q00534_CDK6,3
Q9NNW7_TXNRD2,3
P50613_CDK7,3
P16499_PDE6A,3
P19784_CSNK2A2,3
P24557_TBXAS1,3
P20701_ITGAL,3
Q9UM07_PADI4,3
Q9UM73_ALK,3
P34969_HTR7,3
O75899_GABBR2,3
P28062_PSMB8,3
P00915_CA1,3
P49137_MAPKAPK2,3
Q8IXJ6_SIRT2,3
P04798_CYP1A1,3
Q13554_CAMK2B,3
O43525_KCNQ3,3
P51531_SMARCA2,3
Q13200_PSMD2,3
O60755_GALR3,3
P00568_AK1,3
Q13621_SLC12A1,3
P40306_PSMB10,3
P17980_PSMC3,3
P06239_LCK,3
P00747_PLG,3
P22607_FGFR3,3
P05412_JUN,3
P98170_XIAP,3
P55157_MTTP,3
O00231_PSMD11,3
Q02127_DHODH,3
P34995_PTGER1,3
Q5S007_LRRK2,3
P22694_PRKACB,3
Q9GZZ6_CHRNA10,3
P60900_PSMA6,3
Q3B792_NQO1,3
O14965_AURKA,3
Q96D31_ORAI1,3
P39023_RPL3,3
P08684_CYP3A4,3
P54819_AK2,3
Q9UGM1_CHRNA9,3
P16066_NPR1,3
Q9HCE7_SMURF1,3
P05023_ATP1A1,3
P51665_PSMD7,3
P28072_PSMB6,3
Q06124_PTPN11,3
P42892_ECE1,3
Q13085_ACACA,3
P38435_GGCX,3
P23229_ITGA6,3
Q15858_SCN9A,3
P00918_CA2,3
P21730_C5AR1,3
P35610_ACAT1,3
Q99558_MAP3K14,3
P08069_IGF1R,3
Q99460_PSMD1,3
Q9NY46_SCN3A,3
P04114_APOB,3
O60266_ADCY3,3
Q9UNM6_PSMD13,3
P55036_PSMD4,3
P05026_ATP1B1,3
Q14524_SCN5A,3
P18031_PTPN1,3
P30532_CHRNA5,3
Q08462_ADCY2,3
P40238_MPL,3
P48556_PSMD8,3
P11597_CETP,3
O75530_EED,3
P07858_CTSB,3
P38919_EIF4A3,3
